date,feature_index,NO2
2025-01-07T00:00:00.000Z,0,2.2100756092159055E-5
2024-12-31T00:00:00.000Z,0,1.8274893611878096E-5
2025-01-05T00:00:00.000Z,0,1.1659552286812047E-5
2025-01-17T00:00:00.000Z,0,1.4059992609386533E-5
2025-01-21T00:00:00.000Z,0,2.6304978616410934E-5
2025-01-18T00:00:00.000Z,0,2.7136949381289718E-5
2025-01-23T00:00:00.000Z,0,
2025-01-22T00:00:00.000Z,0,
2025-01-20T00:00:00.000Z,0,
2025-01-19T00:00:00.000Z,0,2.7600277058405078E-5
2025-01-16T00:00:00.000Z,0,2.1891031337872846E-5
2025-02-26T00:00:00.000Z,0,
2025-03-02T00:00:00.000Z,0,1.3081623808083794E-5
2025-03-04T00:00:00.000Z,0,2.9557282687164843E-5
2025-02-25T00:00:00.000Z,0,1.237278064566046E-5
2025-03-03T00:00:00.000Z,0,3.1561039371984905E-5
2025-02-27T00:00:00.000Z,0,2.9601687915161284E-5
2025-02-28T00:00:00.000Z,0,2.9604246192898174E-5
2025-03-01T00:00:00.000Z,0,1.3672641937446485E-5
2022-08-16T00:00:00.000Z,0,2.8465737133802565E-5
